codename_original,categories_num,categories_description,new_categories,new_categories_description,cycle_-1,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9,cycle_10,new_codename
HAC1M,2,No (HAC1M),2,No,x,,,,,,,,,,,MCQ160N
MCQ160N,7,Refused,7,Refused,,,,,,x,x,x,x,x,x,MCQ160N
MCQ160N,1,Yes,1,Yes,,,,,,x,x,x,x,x,x,MCQ160N
HAC1M,1,Yes (HAC3LR),1,Yes,x,,,,,,,,,,,MCQ160N
HAC2J,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ170H
MCQ170H,9,Don't know,9,Don't know,,x,,,,,,,,,,MCQ170H
HAC2J,2,No,2,No,x,,,,,,,,,,,MCQ170H
MCQ170H,2,No,2,No,,x,,,,,,,,,,MCQ170H
MCQ170H,7,Refused,7,Refused,,x,,,,,,,,,,MCQ170H
HAC2J,1,Yes,1,Yes,x,,,,,,,,,,,MCQ170H
MCQ170H,1,Yes,1,Yes,,x,,,,,,,,,,MCQ170H
HAC2F,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ170K
MCQ170K,9,Don't know,9,Don't know,,x,x,x,x,x,x,x,x,x,x,MCQ170K
HAC2F,2,No,2,No,x,,,,,,,,,,,MCQ170K
MCQ170K,2,No,2,No,,x,x,x,x,x,x,x,x,x,x,MCQ170K
MCQ170K,7,Refused,7,Refused,,x,x,x,x,x,x,x,x,x,x,MCQ170K
HAC2F,1,Yes,1,Yes,x,,,,,,,,,,,MCQ170K
MCQ170K,1,Yes,1,Yes,,x,x,x,x,x,x,x,x,x,x,MCQ170K
HAC2K,9,Don't know,9,Don't know,x,,,,,,,,,,,MCQ170M
MCD170M,9,Don't know,9,Don't know,,,x,,,,,,,,,MCQ170M
MCQ170I,9,Don't know,9,Don't know,,x,,,,,,,,,,MCQ170M
MCQ170M,9,Don't know,9,Don't know,,,,x,x,x,x,x,x,x,x,MCQ170M
HAC2K,2,No,2,No,x,,,,,,,,,,,MCQ170M
MCD170M,2,No,2,No,,,x,,,,,,,,,MCQ170M
MCQ170I,2,No,2,No,,x,,,,,,,,,,MCQ170M
MCQ170M,2,No,2,No,,,,x,x,x,x,x,x,x,x,MCQ170M
MCD170M,7,Refused,7,Refused,,,x,,,,,,,,,MCQ170M
MCQ170I,7,Refused,7,Refused,,x,,,,,,,,,,MCQ170M
MCQ170M,7,Refused,7,Refused,,,,x,x,x,x,x,x,x,x,MCQ170M
HAC2K,1,Yes,1,Yes,x,,,,,,,,,,,MCQ170M
MCD170M,1,Yes,1,Yes,,,x,,,,,,,,,MCQ170M
MCQ170I,1,Yes,1,Yes,,x,,,,,,,,,,MCQ170M
MCQ170M,1,Yes,1,Yes,,,,x,x,x,x,x,x,x,x,MCQ170M
HAC3AR,0-16,16 years or younger,16,16 years or younger,x,,,,,,,,,,,MCQ180A
MCQ180A,1-16,16 years or younger,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ180A
MCD180A,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180A
MCQ180A,0-16,16 years or younger,16,16 years or younger,,,,,,,,x,x,x,,MCQ180A
MCQ180A,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180A
MCD180A,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,,,,x,MCQ180A
MCQ180A,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ180A
HAC3AR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCQ180A
MCQ180A,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180A
MCD180A,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180A
MCQ180A,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180A
HAC3AR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ180A
HAC3AR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180A
MCQ180A,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180A
MCD180A,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180A
HAC3AR,777,Less than 1 year,16,16 years or younger,x,,,,,,,,,,,MCQ180A
MCQ180A,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180A
MCD180A,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180A
HAC3CR,1-16,16 years or younger,16,16 years or younger,x,,,,,,,,,,,MCQ180B
MCD180B,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180B
MCQ180B,0-16,16 years or younger,16,16 years or younger,,x,x,x,x,,,x,x,x,,MCQ180B
MCQ180B,1-16,16 years or younger,16,16 years or younger,,,,,,x,x,,,,,MCQ180B
MCQ180B,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180B
MCQ180B,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ180B
HAC3CR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCQ180B
MCD180B,18-79,18-79 years old,18-79,18-79 years old,,,,,,,,,,,x,MCQ180B
MCD180B,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180B
MCQ180B,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180B
MCQ180B,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180B
HAC3CR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ180B
HAC3CR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180B
MCD180B,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180B
MCQ180B,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180B
HAC3CR,777,Less than 1 year,16,16 years or younger,x,,,,,,,,,,,MCQ180B
MCD180B,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180B
MCQ180B,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180B
MCD180C,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180C
MCQ180C,0-16,16 years or younger,16,16 years or younger,,,,,,,,x,x,x,,MCQ180C
MCQ180C,1-16,16 years or younger,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ180C
MCQ180C,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180C
MCQ180C,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ180C
MCD180C,20-79,20-79 years old,20-79,20-79 years old,,,,,,,,,,,x,MCQ180C
MCQ180C,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180C
MCD180C,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180C
MCQ180C,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180C
MCQ180C,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180C
MCD180C,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180C
MCQ180C,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180C
MCD180C,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180C
MCD180D,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180D
MCQ180D,0-16,16 years or younger,16,16 years or younger,,,,,,,,x,x,x,,MCQ180D
MCQ180D,1-16,16 years or younger,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ180D
MCQ180D,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180D
MCQ180D,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ180D
MCD180D,20-79,20-79 years old,20-79,20-79 years old,,,,,,,,,,,x,MCQ180D
MCQ180D,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180D
MCD180D,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180D
MCQ180D,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180D
MCQ180D,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180D
MCD180D,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180D
MCQ180D,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180D
MCD180D,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180D
HAF12R,1-16,16 years or younger,16,16 years or younger,x,,,,,,,,,,,MCQ180E
MCD180E,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180E
MCQ180E,1-16,16 years or younger,16,16 years or younger,,,,,,,,x,x,x,,MCQ180E
MCQ180E,2-16,16 years or younger,16,16 years or younger,,x,x,x,x,,,,,,,MCQ180E
MCQ180E,4-16,16 years or younger,16,16 years or younger,,,,,,x,x,,,,,MCQ180E
MCQ180E,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180E
MCQ180E,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ180E
HAF12R,17-88,17-88 years old,17-88,17-88 years old,x,,,,,,,,,,,MCQ180E
MCD180E,19-79,19-79 years old,19-79,19-79 years old,,,,,,,,,,,x,MCQ180E
MCQ180E,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180E
MCD180E,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180E
MCQ180E,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180E
HAF12R,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ180E
HAF12R,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180E
MCQ180E,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180E
MCD180E,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180E
MCQ180E,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180E
MCD180E,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180E
MCQ180F,0-16,0-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ180F
MCQ180F,1-16,1-16 years old,16,16 years or younger,,x,x,x,x,x,x,,,,,MCQ180F
MCD180F,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180F
MCQ180F,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180F
MCQ180F,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ180F
HAC3DR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCQ180F
HAC3DR,6-16,6-16 years old,16,16 years or younger,x,,,,,,,,,,,MCQ180F
MCD180F,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180F
MCQ180F,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180F
MCQ180F,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180F
HAC3DR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ180F
HAC3DR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180F
MCD180F,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180F
MCQ180F,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180F
MCD180F,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180F
MCQ180F,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180F
HAC3GR,1-16,1-16 years old,16,16 years or younger,x,,,,,,,,,,,MCQ180G
MCQ180G,10-16,10-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCQ180G
MCD180G,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180G
MCQ180G,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180G
MCQ180G,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCQ180G
HAC3GR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCQ180G
MCQ180G,3-16,3-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ180G
MCQ180G,6-16,6-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCQ180G
MCD180G,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180G
MCQ180G,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180G
MCQ180G,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180G
HAC3GR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ180G
HAC3GR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180G
MCD180G,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180G
MCQ180G,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180G
MCD180G,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180G
MCQ180G,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180G
MCQ180H,1-16,1-16 years old,16,16 years or younger,,x,,,,,,,,,,MCQ180H
MCQ180H,17-72,17-72 years old,17-72,17-72 years old,,x,,,,,,,,,,MCQ180H
MCQ180H,85,85 years or older,85,85 years or older,,x,,,,,,,,,,MCQ180H
MCQ180H,99999,Don't know,99999,Don't know,,x,,,,,,,,,,MCQ180H
MCQ180H,77777,Refused,77777,Refused,,x,,,,,,,,,,MCQ180H
MCQ180K,0-16,0-16 years old,16,16 years or younger,,x,x,x,x,x,x,x,x,x,,MCQ180K
HAC3FR,1-16,1-16 years old,16,16 years or younger,x,,,,,,,,,,,MCQ180K
MCD180K,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180K
MCQ180K,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCQ180K
MCQ180K,17-83,17-83 years old,17-83,17-83 years old,,x,x,x,x,,,,,,,MCQ180K
HAC3FR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCQ180K
MCQ180K,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180K
MCD180K,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180K
MCQ180K,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180K
HAC3FR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCQ180K
HAC3FR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCQ180K
MCQ180K,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180K
MCD180K,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180K
HAC3FR,777,Less than 1 year,16,16 years or younger,x,,,,,,,,,,,MCQ180K
MCQ180K,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180K
MCD180K,77777,Refused,77777,Refused,,,,,,,,,,,x,MCQ180K
MCQ180L,0-16,0-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCQ180L
MCQ180L,1-16,1-16 years old,16,16 years or younger,,,,,,x,x,x,x,x,,MCQ180L
MCD180L,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCQ180L
MCQ180L,17-78,17-78 years old,17-78,17-78 years old,,,,,,x,x,,,,,MCQ180L
MCQ180L,17-79,17-79 years old,17-79,17-79 years old,,,,,,,,x,x,x,,MCQ180L
MCQ180L,17-83,17-83 years old,17-83,17-83 years old,,x,x,x,x,,,,,,,MCQ180L
MCQ180L,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCQ180L
MCD180L,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCQ180L
MCQ180L,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCQ180L
MCQ180L,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCQ180L
MCD180L,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCQ180L
MCQ180L,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCQ180L
