"","RXDDRGID","RXDDRUG","RXDINGFL","RXDDCI1A","RXDDCI1B","RXDDCI1C","RXDDCI2A","RXDDCI2B","RXDDCI2C","RXDDCI3A","RXDDCI3B","RXDDCI3C","RXDDCI4A","RXDDCI4B","RXDDCI4C","RXDICI1A","RXDICI1B","RXDICI1C","RXDICI2A","RXDICI2B","RXDICI2C","RXDICI3A","RXDICI3B","RXDICI3C","RXDICI4A","RXDICI4B","RXDICI4C","RXDICI5A","RXDICI5B","RXDICI5C","RXDICI6A","RXDICI6B","RXDICI6C","RXDDCN1A","RXDDCN1B","RXDDCN1C","RXDDCN2A","RXDDCN2B","RXDDCN2C","RXDDCN3A","RXDDCN3B","RXDDCN3C","RXDDCN4A","RXDDCN4B","RXDDCN4C","RXDICN1A","RXDICN1B","RXDICN1C","RXDICN2A","RXDICN2B","RXDICN2C","RXDICN3A","RXDICN3B","RXDICN3C","RXDICN4A","RXDICN4B","RXDICN4C","RXDICN5A","RXDICN5B","RXDICN5C","RXDICN6A","RXDICN6B","RXDICN6C"
"11","a11518","CONJUGATED ESTROGENS; PROGESTERONE",2,97,101,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","SEX HORMONE COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","a11692","AMYLASE; LIPASE; PROTEASE",2,87,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,91,NA,87,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","DIGESTIVE ENZYMES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","DIGESTIVE ENZYMES",NA,"GASTROINTESTINAL AGENTS","MISCELLANEOUS GI AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","a51865","DIPHENIDOL",1,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","a52024","ENCAINIDE",1,40,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","a52060","ERYTHRITYL TETRANITRATE",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","a52445","GLUTETHIMIDE",1,57,67,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","a53990","NYLIDRIN HYDROCHLORIDE",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","a54115","OXYGEN",1,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","a54760","PRAZEPAM",1,57,67,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BENZODIAZEPINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BENZODIAZEPINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","a55465","STANNOUS FLUORIDE",1,133,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","MOUTH AND THROAT PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","MOUTH AND THROAT PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","a55548","SULFAMETHAZINE",1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","a55570","SULFAPYRIDINE",1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","a55820","THYROGLOBULIN",1,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","THYROID HORMONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","THYROID HORMONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","a56545","NITRAZEPAM",1,57,67,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BENZODIAZEPINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BENZODIAZEPINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","a57014","ERYTHROPOIETIN",1,28,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIOLOGICALS","ERYTHROPOIESIS-STIMULATING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIOLOGICALS","ERYTHROPOIESIS-STIMULATING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","a59812","DOMPERIDONE",1,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,65,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIEMETIC/ANTIVERTIGO AGENTS","MISCELLANEOUS ANTIEMETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","a70010","SEROTONIN",1,242,249,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,249,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSYCHOTHERAPEUTIC AGENTS","ANTIDEPRESSANTS","TRICYCLIC ANTIDEPRESSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSYCHOTHERAPEUTIC AGENTS","ANTIDEPRESSANTS","TRICYCLIC ANTIDEPRESSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","a70248","ESTRIOL",1,97,101,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","a70444","CINNARIZINE",1,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","a70491","HYOSCYNAMINE SULFATE",1,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,355,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","a70573","PENTAERYTHRITOL TETRANITRATE",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","a70987","SQUARIC ACID",1,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","a71066","DEFLAZACORT",1,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","c00001","ANTI-INFECTIVES - UNSPECIFIED",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","c00004","ANTIFUNGALS - UNSPECIFIED",0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","c00017","URINARY ANTI-INFECTIVES - UNSPECIFIED",0,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","c00019","ANTIHYPERLIPIDEMIC AGENTS - UNSPECIFIED",0,358,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","c00020","ANTINEOPLASTICS - UNSPECIFIED",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","c00039","MISCELLANEOUS BIOLOGICALS - UNSPECIFIED",0,254,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMMUNOLOGIC AGENTS","MISCELLANEOUS BIOLOGICALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMMUNOLOGIC AGENTS","MISCELLANEOUS BIOLOGICALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","c00040","CARDIOVASCULAR AGENTS - UNSPECIFIED",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","c00047","BETA-ADRENERGIC BLOCKING AGENTS - UNSPECIFIED",0,40,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","c00049","DIURETICS - UNSPECIFIED",0,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","c00055","ANTIHYPERTENSIVE COMBINATIONS - UNSPECIFIED",0,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","c00057","CENTRAL NERVOUS SYSTEM AGENTS - UNSPECIFIED",0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","c00058","ANALGESICS - UNSPECIFIED",0,57,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","c00059","MISCELLANEOUS ANALGESICS - UNSPECIFIED",0,57,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","MISCELLANEOUS ANALGESICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
